city,activities_category,name,address,price,description,picture
Séoul,museum,Hwaseong Haenggung Palace ,"825 Jeongjo-ro, Namchang-dong, Paldal-gu, Suwon, Gyeonggi-do, South Korea",1500,"Introduction
A haenggung is a temporary palace where the king and royal family retreated to during a war. Hwaseong Haenggung Palace is the largest one of these, use by the Joseon kings since the time of King Jeongjo (r. 1776-1800). In addition to being used as a shelter during war, King Jeongjo also stayed here during trips to worship at his father's tomb. The palace was the location of a splendid feast held on the 60th birthday of his mother, Hyegyeonggung Hong, and many other events, including award certificates for successful candidates of special national exams. These days, the palace serves as a venue for many traditional cultural performances and activities.",
Séoul,museum,Hwaseong Fortress,"910 Jeongjo-ro, Jangan-dong, Paldal-gu, Suwon, Gyeonggi-do, South Korea",1000,"Introduction
Hwaseong Fortress is an impressive structure from the latter part of the Joseon Dynasty (1392-1910) and the official fortress of Suwon-si, Gyeonggi-do. The fortress, constructed from 1794 to 1796, was built as a display of King Jeongjo’s filial piety towards his father and to build a new pioneer city with its own economic power.

The fortress wall stretches for a total of 5.52km and has a great variety of military facilities that are hard to find anywhere else. Four gates face each of the cardinal directions—Janganmun (north), Paldalmun (south), Changnyongmun (east), and Hwaseomun (west)—and the seven-arch style Sumun gates straddle the point where the nearby stream reaches the palace. Above the Sumun gates is a pavilion called Hwahongmun.

Hwaseong Fortress was constructed under the guidance of Yu Hyeong-Won (1622-1673) and Jeong Yak-Yong (1762-1836), and is believed to have been constructed very scientifically. The fortress wall was built using Seokjae and Jeondol (bricks) and the holes between the bricks are just big enough to fire guns, arrows, or long spears through in case of an attack.

During construction of the fortress Jeong Yak-Yong invented ‘Geojunggi,’ which uses a ‘hwalcha’ (lever) to lift up heavy stones, greatly reducing construction time.

The Suwon Hwaseong Fortress went through many turbulent times and damage, and in the battle of June 25th, many of the facilities became so damaged that they were deemed irreparable. Even though the fortress restoration initiative (1975-1979) restored many of the sites to their former glory, Paldalmun to Dongnamgakru (an area 491 meters in length) has still not been renovated.

The fortress was designated as Historic Site No. 3 in January 1963, and in December 1997, it was designated a UNESCO World Cultural Heritage Site. A variety of performances and events are held at the fortress every day and Suwon Hwaseong Cultural Festival takes place here in autumn.",
Séoul,museum,Korea Manhwa Museum,"529-2 Sang-dong, Wonmi-gu, Bucheon, Gyeonggi-do, South Korea",5000,"The Korean Manhwa Museum is the first cartoon museum that preserves and exhibits various rare cartoon materials and historically valuable materials, including the original copy of cartoons drawn by well-known cartoonists, which Bucheon Manhwa Information Center (currently Korea Manhwa Contents Agency) has collected and preserved. Located in the Bucheon Visual Culture Complex, the museum exhibits a wide range of cartoons from those of the 1990s to the latest works of cartoonists who are popular among kids.",
Séoul,museum,Yongin DaeJangGeum park,"778-1 Yongcheon-ri, Baegam-myeon, Cheoin-gu, Yongin-si, Gyeonggi-do, South Korea",,"Introduction
Dae Jang Geum Park in Yongin, Gyeonggi-do is the largest historical drama set in Korea. Facilities in the themed park are semi-permanent facilities reflected the architectural style, lifestyle and culture of the past, based on historical records. The facilities are in great harmony with the surrounding natural landscapes, which makes tourists feel as if they have traveled to the past in a time machine. The park has also been used as a filming site for music videos, documentaries, and commercials.",
Séoul,museum,NAMI ISLAND,"1 Namisum-gil, Namsan-myeon, Chuncheon, Gangwon-do, South Korea",,"Introduction
Namiseom Island was formed as a result of the construction of Cheongpyeong Dam. It is a half moon-shaped isle, and on it is the grave of General Nami, who led a great victory against the rebels in the 13th year of the 7th king of the Joseon Dynasty, King Sejo (reign 1455-1468).

Namiseom Island is 63 kilometers away from Seoul in the direction of Chuncheon, and is famous for its beautiful tree lined roads. The island is 30 minutes away from Chuncheon and an hour away from the suburbs of Seoul. Since it is not far from Seoul, many couples and families come to visit.

A special feature of Namiseom Island is that there are no telephone poles. This is because all electric wires were built underground to keep the natural feeling of the landscape. The island is 553,560 square yards with chestnut trees and poplar trees throughout.

In the middle of the isle, there is a grass field about 316,320 square yards. It features education and training facilities and camping sites. The island also has a swimming pool and water-sports facilities for motorboats and water skiing, as well as a theme park with a merry-go-round, shooting range, and roller skating rink. Lodging facilities such as resort villas and bungalows are available for visitors to stay on the island.",
Séoul,museum,Hyundai Cruise,"Jeonho-ri, Gochon-eup, Gimpo-si, Gyeonggi-do, South Korea",,"Introduction
Hangang River Ferry Cruise began operations on October 26, 1986, traversing the Hangang River as it runs through Seoul from east to west. The operation company, E-Land Cruise, currently offers river cruise programs from two ferry terminals, located in Yeonuido and Jamsil. Riders can see the beautiful Hangang River by day on the Story Cruise, or take in the city nightscape and colorful Banpo Rainbow Bridge on the Music Cruise. The Lunch and Dinner Buffet cruises provide delicious cuisine.

E-Land Cruise aims to develop a cruise theme park at Hangang River as the iconic attraction representing Seoul. It also aims to promote and familiarize Hangang River to international tourists as a world famous attraction. Visitors and Seoul residents alike can take a break from the busy urban atmosphere and enjoy a relaxing time while on the cruise.",
Séoul,museum,Korean Folk Village,"90 Minsokchon-ro, Sanggal-dong, Giheung-gu, Yongin-si, Gyeonggi-do, South Korea",20000,"Introduction
Korean Folk Village introduces traditional culture from the late Joseon period to both local and international visitors through cultural classes experience, shaman faith, seasonal customs and others. Also, the village shows various places with unique features such as a farming village, private house, official districts, Confucian academy, seodang (village school), and a village street in realistic descriptions, as well as, a nobleman’s house and traditional workshop.

Performances including nongak (farmer’s music), martial art on horseback, traditional wedding ceremony, and other special events are available by season. In particular, ‘Welcome to Joseon’, held every May is a performance featuring time travel back to the olden days. In addition, a large family park where the eruption of a volcano site, ice sledding site, and markets are located. Visitors can enjoy Korean traditional rice cake like jeungpyeon (steamed and fermented rice cake), injeolmi (rice cake coated with bean powder), bukeo-gui (grilled dried pollack), or pajeon (green onion pancake) along with dongdongju (traditional Korean liquor).",
Séoul,museum,SBA Seoul Animation Center,"Namsan, Hoehyeon-dong, Seoul",,"Introduction
The Seoul Animation Center was established by the Seoul Metropolitan Government in May 1999 with the aim of providing comprehensive support to Korea’s cartoon and animation industry. The center runs an information desk, offers educational programs, holds events to support new talents and productions, and hosts diverse events and exhibitions.

A major facility of the Seoul Animation Center, AniCinema is a multicultural space that can accommodate diverse cultural events. Its primary objective is to facilitate the supply of domestic animation films to theaters and to promote animated works by holding a range of film festivals. The theater has 179 seats and state-of-the-art facilities for screening both digital and analogue animated films. High quality equipment at AniCinema, such as the 5.1 channel digital surround sound system and wide screen, allows for a pleasurable viewing experience.",
Séoul,museum,Seoul Battleship Park,"404-7 Mangwon-dong, Mapo-gu, Seoul, South Korea",,,
Séoul,museum,Museum Kimchikan,"35-4 Insadong-gil, Gwanhun-dong, Jongno-gu, Seoul, South Korea",,"Introduction
Museum Kimchikan is a unique museum dedicated to kimchi and kimjang, the process of making kimchi which was designated as UNESCO Intangible Cultural Heritage of Humanity. The museum was also selected by CNN in March 2015 as one of the world’s top 11 food museums.
Visitors can learn the history of kimchi as well as learn and get a taste of the different types of kimchi. Audio guides in English, Japanese, and Chinese are available for international visitors and a guided tour of the museum by a docent is also available at designated times. Online reservation is available through the museum’s official website.
",
Séoul,museum,Namsan Seoul Tower Hanbok Culture Experience Center,"105 Namsangongwon-gil, Yongsan 2(i)ga-dong, Yongsan-gu, Seoul, South Korea",,"Introduction
Namsan Seoul Tower Hanbok Culture Experience Center is located in the lobby level (B1F) of Seoul's landmark Namsan Seoul Tower. The center is designed around the theme of the Joseon dynasty, and features both large photo zones and hanbok of various styles, ranging from traditional to modern and even wedding.",
Séoul,museum,Yellow Balloon City Bus,"Jegi-dong Station, Seoul Oriental Medicine Market, Jegi-dong, Seoul, South Korea",,,
Séoul,museum,Coreana Cosmetics Museum,"827 Eonju-ro, Apgujeong-dong, Gangnam-gu, Seoul, South Korea",4000,"The Coreana Cosmetics Museum is the only museum in Korea that exclusively deals with traditional Korean cosmetic culture. Established in November 2003 with the purpose of preserving and introducing traditional cosmetic culture, the museum has continued to grow through its exhibitions and research projects. The museum focuses on improving the understanding of the history and trends of Korean cosmetic culture through its permanent and special exhibitions featuring modern cosmetics as well as natural cosmetic materials, cosmetic containers, and makeup tools that were used from the Unified Silla period to modern times.",
Séoul,museum,Seoul City Tour Bus,"61-1 Taepyeongno 1(il)-ga, Jung-gu, Seoul, South Korea",,,
Séoul,museum,Hanwha Aqua Planet Ilsan,"282 Hallyuwoldeu-ro, Daehwa-dong, Ilsanseo-gu, Goyang-si, Gyeonggi-do, South Korea",29000,"Introduction
Hanhwa Aqua Planet Yeosu is the second largest aquarium in Korea and is a landmark of the southern province with a record of about 1 million visitors every year. There are approximately 34,000 marine organisms of about 280 species including rare animals such as beluga (white whale) and baikal seal.",
Séoul,museum,Running Man,"Insadong 5-gil, Jongno 1(il).2(i).3(sam).4(sa), Jongno-gu, Seoul, South Korea",,,
Séoul,museum,Seoul Zoo & Sky Lift,"102 Daegongwongwangjang-ro, Munwon-dong, Gwacheon-si, Gyeonggi-do, South Korea",,"Introduction
Covering an area of about 9,157,000㎡, Seoul Grand Park consists of themed areas for education, nature, and amusement. The park is known for its various amusement facilities and scenic beauty. Seoul Grand Park’s major attractions include Seoul Grand Park Zoo, Children's Zoo, a rose garden, Seoulland amusement park, and the National Museum of Modern and Contemorary Art, Gwancheon.

Seoul Zoo is home to almost 3,000 animals belonging to about 350 species from all over the world. The zoo is the 10th largest in the world and a recognized member of the International Species Information System (ISIS) and the World Zoo Organization (IUDZG-WZO).

[Botanical Garden]
The Botanical Garden in Seoul Grand Park is located near the foot of Cheonggyesan Mountain. Opened on May 1, 1985, the garden has an area of 2,825㎡ and exhibits tropical and subtropical plants, succulent plants such as cactus, orchids and ferns.

[Rose Garden]
The Rose Garden, which is located near the lake, has about 30,000 roses belonging to over 200 species. The roses are in full bloom in June, attracting many visitors to the park.

[Forest Park]
The Seoul Grand Park Forest Park is located inside the natural forest of Cheonggyesan Mountain, which surrounds Seoul Grand Park. The park is home to a wide variety of flora and fauna, including 470 tree species and 35 bird species. It also has a 6.3㎞-long hiking trail that is divided into four sections, as well as rest areas with different themes like the Forest of Meditation featuring a 450m barefoot walking path. It is an ideal place for a forest bath, which involves exploring a forest all the while enjoying the positive energy, beautiful sights and soothing atmosphere that the forest has to offer in order to clense one's soul. Walking through the forest bathing area takes as little as 50 minutes or as long as 2.5 hours.",
