name,description,address,picture,city,activities_category,latitude,longitude
Sugarloaf Mountain,"One of the most beautiful attractions in Rio de Janeiro and one of the most famous in Brazil. Our mission is to take people to an enchantment, fun and entertainment journey ‚Äì providing happy and unforgettable experiences as well as valuing Brazilian culture. We constantly invest in safety, comfort and innovative technologies. Our locations constitute natural, geological, historical, and touristic landmarks in the city of Rio de Janeiro. As a natural landmark, it reminds us of our reference to the sailors who come to Guanabara Bay. As a geological landmark, it reminds us of our geological site precisely dating the history of our planet. We also talk about historical landmark because on March 1, 1565, Estacio de Sa founded the City of Sao Sebastiao in Rio de Janeiro literally on its feet. And, finally, touristic landmark because the Cable Car opened on Sugarloaf projected Brazil‚Äôs name worldwide. It has been the first cable car installed in Brazil and the third in the world.","Av. Pasteur, 520 - Urca, Rio de Janeiro, State of Rio de Janeiro 22290-255, Brazil",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/74649514_2453558548094763_5074128037523899841_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=103&oh=b0ec1e210a1c80fb094e40d737e9b006&oe=5E668163,Rio De Janeiro,Landmarks,-22.954434,-43.167019
Corcovado - Christ the Redeemer,"Colossal statue of Jesus Christ at the summit of Mount Corcovado, Rio de Janeiro, southeastern Brazil","Estrada Redentor - Alto da Boa Vista | Parque Nacional da Tijuca, Rio de Janeiro, State of Rio de Janeiro 22241-330, Brazil",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/41826058_1972772512781717_543811783690563482_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=105&oh=8583e983e3dae27c1004655626e73d6b&oe=5E8398C4,Rio De Janeiro,Landmarks,-22.951768,-43.210466
Botanical Garden,"Two 800-yard-long rows of towering royal palm trees are a highlight of this massive garden containing thousands of plants and trees, including every variety of palm tree imaginable.","Rua Jardim Botanico 1008 | Jardim Botânico, Rio de Janeiro, State of Rio de Janeiro 22460-000, Brazil",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/75580621_2780152482005858_1802002040601171964_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=102&oh=5c1ec59fc839cbde63daacc4751d2630&oe=5E8B26AA,Rio De Janeiro,Landmarks,-22.970083,-43.223472
Morro da Urca,This is the first hill up on the way to Rio's famous Sugar Loaf. It offers it's own marvelous view from the top (215 meters) but its base is also a good place for hiking.,"Praia Vermelha, Rio de Janeiro, State of Rio de Janeiro 22290-270 Brazil",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/73521773_155475232394906_711595007866693543_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=102&oh=3f42fa9b2ea57fc3a3bf920780f5166c&oe=5E7F1F87,Rio De Janeiro,Landmarks,-22.955102,-43.164675
Ipanema Beach,"Popularized by the song ""The Girl from Ipanema,"" this world-famous beach gives foreign visitors a sense of life in Rio, displaying a cross-section of different lifestyles, chic boutiques and eateries and luxurious apartment buildings.","Avenida Vieira Souto - Ipanema, Rio de Janeiro, State of Rio de Janeiro 22420-002, Brazil",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/72781802_102726034458066_4778992008227523273_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=106&oh=b29269d57a0168297d6e27cdeb76d71e&oe=5E6FF4A6,Rio De Janeiro,Landmarks,-22.986564,-43.205109
Museu do Amanha,"The Museum of Tomorrow is a new kind of Science museums. Here you are invited to examine the past, understand today's global trends and envision possible scenarios for the next 50 years through immersive audiovisual environments, interactive installations and games available to public in Portuguese, English and Spanish. The Museum has areas dedicated to temporary exhibitions, an auditorium for events, an inviting caf√©, a restaurant and a Museum shop. The Museum also has three specific areas of programming: Education, Laboratory of Tomorrow and the Observatory of Tomorrow.","Praca Maua 1, Rio de Janeiro, State of Rio de Janeiro 20081-240, Brazil",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/70917131_521224158659713_2905972871115817758_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=101&oh=3b2bda23baf29e0ad39ef725992e514c&oe=5E77C40E,Rio De Janeiro,Landmarks,-22.894495,-43.179664
Parque Lage,"Parque Enrique Lage is a public park in the city of Rio de Janeiro, located in the Jardim Botânico neighborhood at the foot of the Corcovado.","Rua Jardim Botanico 414 | Jardim Botânico, Rio de Janeiro, State of Rio de Janeiro 22461-000, Brazil",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/75580697_508015799927956_6914257562187665893_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=104&oh=0d4e9643bd8ff444f2ebf44b877160c6&oe=5E7A15FD,Rio De Janeiro,Landmarks,-22.960115,-43.211857
AquaRio," AquaRio is a public aquarium located in the Gamboa neighborhood, in the port zone of Rio de Janeiro, Brazil. With a constructed area of about 26,000 square metres (280,000 sq ft), it is located between Muhammad Ali Square. It is considered the largest marine aquarium in South America.","Via Binario do Porto, 194 | Praca Muhammad Ali, Rio de Janeiro, State of Rio de Janeiro 20220-360, Brazil",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/74876697_2499225073662555_6830548462318745410_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=103&oh=a0f3fc124b97b7d80a276fcf14f9cb02&oe=5E8BE06D,Rio De Janeiro,Landmarks,-22.892894,-43.192868
Pedra do Telégrafo,"The Pedra do Telégrafo near Rio de Janeiro, is a rocky promontory that offers a magnificent view of the beaches of the west of the city.","Rua Almirante Carlos Tinoco 432 500 | Barra de Guaratiba, Rio de Janeiro, State of Rio de Janeiro 23020-260, Brazil",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/37105191_214224749166749_6037133265368776704_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=105&oh=970a6d58533e432ac6be01fe06b59c95&oe=5E821B3D,Rio De Janeiro,Landmarks,-23.065551,-43.567969
Real Gabinete Portugues Da Leitura,"The Royal Portuguese Cabinet of Reading (Portuguese: Real Gabinete Português de Leitura) is a library and lusophone cultural institution, is located in Luís de Camões Street, number 30, in the center of the city of Rio de Janeiro, Brazil. It is listed by the State Institute of Cultural Heritage.","Rua Luis de Camoes 30, Rio de Janeiro, State of Rio de Janeiro 20051-020 Brazil",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/61471383_120546909161177_2854362474002636885_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=105&oh=accacdf3d98842f1fa57807cd6ab783e&oe=5E7B945E,Rio De Janeiro,Landmarks,-22.905361,-43.182187
