name,duration,description,address,picture
Real Alcazar de Sevilla,1,Beautiful medieval Islamic palace showcasing a unique fusion of Spanish Christian and Moorish architecture.,"Patio de Banderas, s/n, 41004 Seville, Spain",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/67520124_2342049936113400_5127447305680381284_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=100&oh=e9f7786c5055811a21e656475b0db75f&oe=5E6F5E59
Plaza de Espana,3,,"Avenida de Isabel la Catolica, 41004 Seville, Spain",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/58749546_134017341033340_1334653339123347737_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=104&oh=2964b285d2dd096b2222b71196dc129a&oe=5E6DCA61
Catedral de Sevilla,1,This majestic Cathedral dates back to the 15th century and claims to be the third largest building of its kind in the world.,"Avenida de la Constitucion s/n, 41001 Seville, Spain",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/67730562_180177913004420_3575216266223710765_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=108&oh=a60d93cce55150c9468ae21725ea8086&oe=5E6F3BB9
Torre Giralda,0.5,"This lovely structure was originally built as a minaret for a mosque, although it has since been converted into a bell tower.","Avenida La Constitucion S/N, 41001 Seville, Spain",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/74373213_2495357204033526_2181036198726531430_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=106&oh=80a6863c72a8cd5da2430376d5dadcb2&oe=5E6C7081
Parque de Maria Luisa,1,"Peaceful urban park decorated with fountains, sculptures and monuments.","Avenida La Palmera s/n, 41013 Seville, Spain",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/70734346_140143174011794_740704275793880173_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=102&oh=3a132837710d599ead5077249d53e120&oe=5E884873
Las Duenas,1,"Las Dueñas Palace, House of Alba's current residence in Seville, was built between the 15th and 16th centuries and is one of the greatest historical attractions of the city. The building itself, including styles from Gothic-Mudejar to the Renaissance, has significant architectural interest as its several gardens and patios with a special charm . With a diverse collection of painting and sculpture, the house also treasures many family memories. The current configuration of its pieces has remained true to its actual distribution before the opening, making the Palace a unique and different place to visit.","Calle Duenas 5 | Palacio de Las Dueñas, 41003 Seville, Spain",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/73497489_165423214649238_2029515432085056529_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=106&oh=6b1ed328bff6c13e60cfe72eb100ac63&oe=5E7C9743
Iglesia Colegial del Salvador,1,,"Plaza del Salvador, 41004 Seville, Spain",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/60613934_446055295969973_3869857370362327771_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=105&oh=1367e4dcabebfc24b27c457ef44d8941&oe=5E7E7478
Museo De Bellas Artes De Sevilla,1,"The Museum of Fine Arts of Seville, founded in 1839, contains a collection of works from medieval times through the early 20th century. It displays a choice selection of works by Spanish artists from the 17th century, the so-called Golden Age of Sevillian painting. Monday Closed","Plaza Museo 9, 41001 Seville, Spain",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/75208763_2675295599193461_2040818738953098910_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=105&oh=3df4e51a9084bad1219aee67cfd9f3c1&oe=5E853F7D
Casa de Pilatos,0.5,"Construction of this palace began in 1492. Today, part of the palace is a museum and is open to the public. There is a separate wing where the present Duchess of Medinaceli lives with her descendants and family. The palace has many gardens, patios, fountains, and salons. The patios contain many Roman statues. Everywhere on the first floor one will find Roman mosaic floors. The walls are covered with beautiful ceramic tile in many different Mudejar styles.","Plaza Pilatos 1, 41003 Seville, Spain",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/69184484_181665476197570_2168266483821788360_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=110&oh=971efb1c3ccb8a339ecfe131146ce201&oe=5E754D71
Setas de Sevilla (Metropol Parasol),1,,,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/68709090_140168357222246_2604591287607521613_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=102&oh=446e8cb09b314e5e521d0de9791f0196&oe=5E7B9615
