name,description,address,picture,city,activities_category
Samurai Museum,"Samurai Museum is located in the KABUKICHO district of Shinjuku, which is one of the urban areas in Tokyo. However, once you arrive at the museum, you will be amazed by the traditional atmosphere it provides. It displays various kinds of authentic artifacts such as Samurai armor, helmets and weapons. The mission for the museum is to share true Samurai spirits with you so that you can have a better understanding of Samurai , including how they fought, who they were, what they believed. The museum offers an English guided tour that runs frequently for you to learn rich Samurai history at a deeper level. Many interesting facts about Samurai are covered in this tour.In addition, it has a photo booth where you are allowed to take pictures wearing Samurai outfits or Kimono. Also, the museum offers a special sword show at 2,3,4 and 5 pm everyday for you to watch two trained actors doing a sword fighting performance. The Museum shop is also worth visiting to buy cool gifts such as Katana.","2-25-6 Kabukicho | Eiwa Dairoku Bldg 1F, Shinjuku 160-0021, Tokyo Prefecture",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/67911557_550501209026512_751594930277913223_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=104&oh=8576321c7cd85f4549f0a2f3b1e023f3&oe=5E686852,Tokyo,Landmarks
Nezu Museum,"The Nezu Museum, formerly known as the Nezu Institute of Fine Arts, is an art museum in the Minato district of Tokyo, Japan.The museum houses the private collection of pre-modern Japanese and East Asian art of Nezu Kaichirō (1860–1940)","6-5-1 Minamiaoyama, Minato 107-0062, Tokyo Prefecture",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/14582383_1408469815860629_1723960088332337152_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=105&oh=78db473d76959743352f50ba95fe8151&oe=5E6CCE32,Tokyo,Landmarks
Edo-Tokyo Museum,"The Tokyo Metropolitan Edo-Tokyo Museum opened its doors in March 1993 as a space to reflect on the history and culture of Edo-Tokyo and envision the city and life of the future. Housed in a unique building modeled after an elevated-floor type warehouse, the museum has been a landmark and popular tourist attraction in Tokyo since its opening. The permanent exhibition, showcasing original objects and replicas, offers visitors a journey through the 400-year history of Edo-Tokyo since Tokugawa Ieyasu entered Edo. In addition to the permanent exhibition, the museum holds special exhibitions at the first floor gallery five to six times a year and carries out various other events, including lectures and workshops on the history and culture of Edo-Tokyo. We hope that the museum can be Tokyo‚Äôs center for the creation of new culture and a place of respite for visitors.","1-4-1 Yokoami, Sumida 130-0015, Tokyo Prefecture",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/70176052_495649164557351_3819780280377706128_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=111&oh=f513a51dc31ed35d539a8c94cd405d5f&oe=5E7D3C28,Tokyo,Landmarks
Asakusa,This popular Tokyo neighborhood is home to many shops and restaurants as well as the famed Senso-ji Temple.,"Taito, Tokyo Prefecture",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/73480810_173380900396821_7314151320177526843_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=109&oh=06724347e76196e2211da071f1367c4c&oe=5E708E6B,Tokyo,Landmarks
Ryogoku Kokugikan,"Also known as Ryōgoku Sumo Hall, is an indoor sporting arena located in the Yokoami neighborhood (bordering to the Ryōgoku neighborhood) of Sumida, one of the 23 wards of Tokyo in Japan, next to the Edo-Tokyo Museum. It is the third building built in Tokyo associated with the name kokugikan. The current building was opened in 1985 and has a capacity of 11,098 people.","1-3-28 Yokoami, Sumida 130-0015, Tokyo Prefecture",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/66766618_361195688147410_192945144033362645_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=110&oh=d3a41fb528c5b0a9df20cf5c3b0470a7&oe=5E8A8114,Tokyo,Landmarks
Meiji Jingu Shrine,"Two, large gates frame the entrance to this Shinto shrine that was dedicated to Emperor and Empress Meiji. Completed in 1920, repairs were required after the shrine was damaged during World War II.","1-1 Yoyogi Kamizonocho, Shibuya 151-0052, Tokyo Prefecture",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/73284858_164434684759504_6849693948205416159_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=104&oh=78b4f77ad2f2676c19a768287997f964&oe=5E6DF265,Tokyo,Landmarks
Chidorigafuchi,"Chidorigafuchi is an alley that borders the moat north-west of the Imperial Palace, located in the Chiyoda district of central Tokyo. The path, 700 meters long, is particularly popular with walkers in the spring, when hundreds of cherry blossoms are on the water.","1-1 Kitanomarukoen, Chiyoda 102-0091, Tokyo Prefecture",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/60833018_2766543616695340_6146473891841102525_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=104&oh=095cf52a25b56408ed6aaff13d97bd87&oe=5E8AAFE3,Tokyo,Landmarks
Senso-ji Temple,"According to legend, two brothers kept trying to return a statue of Kannon, the goddess of mercy, to the Sumida River only to have it returned to them the next day. This temple located in Tokyo's Asakusa district was built to honor her.","2-3-1 Asakusa, Taito 111-0032, Tokyo Prefecture",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/77197290_169994764086423_2674862058998089064_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=103&oh=5060b9711b1ec6fc9e3e8a47d1089411&oe=5E8093F4,Tokyo,Landmarks
Mori Art Museum,"This museum, located in Roppongi Hills, is one of Asia's largest spaces for contemporary art.","6-10-1 Roppongi | Roppongi Hills Mori Tower 53F, Minato 106-6150, Tokyo Prefecture",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/66602305_145859953179900_2106320111271180929_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=100&oh=7cb54953cfe88699de7e5d686873b852&oe=5E6BC724,Tokyo,Landmarks
"The National Art Center, Tokyo","The National Art Center  is a museum in Roppongi, Minato, Tokyo, Japan. A joint project of the Agency for Cultural Affairs and the National Museums Independent Administrative Institution, it stands on a site formerly occupied by a research facility of the University of Tokyo.","7-22-2 Roppongi, Minato 106-8558, Tokyo Prefecture",https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/71114271_121555638950876_6432460762397090005_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=108&oh=1568f901aa3b0edc08e1b711315285fb&oe=5E7C368A,Tokyo,Landmarks
