name,description,address,picture,city,activities_category
Coex Aquarium,"Introduction
The COEX Aquarium comprises 183 display tanks and 90 breeding tanks with 3,500 tons of water volume, making it a large-scaled aquarium. It houses 40,000 sea creatures, which come from 650 different species divided into 16 themed zones. In particular, the highest number of sharks and the largest variety of species in Korea are living in the aquarium. An open-top water tank releasing anions in addition to 20 rest areas make this tourist site in the heart of Gangnam, Seoul a perfect healing place for local and international visitors.

Structure Size
Whole area 14,350㎡ Facilities area 9,256㎡ Tanks - 183 display tanks, 90 breeding tanks Water volume – approximately 3,500 tons Creatures - 40,000 sea creatures from approximately 650 different species","513 Yeongdong-daero, Samseong-dong, Gangnam-gu, 서울특별시 South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/01eb70263b4d8e15cba93e65000c8f75/5DF8FA08/t51.2885-15/e35/56935394_567683010389733_2964426861509975315_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=109,Seoul,Attraction
Seokchon Lake,"Introduction
Songpa Naru Park, also commonly referred to as Seokchonhosu Lake, is a citizen park in Seoul with a jogging course and walking trails. It has two lakes with Songpa-daero Boulevard running in between. Originally, a branch of the Hangang River ran through the site, forming one large lake, but the lake was divided into two with the construction of Songpa-daero Boulevard. The total size of the two lakes is 217,850㎡, and they hold about 737 tons of water. The depth of the lakes is 4-5 meters.","148 Jamsil-ro, Jamsil 3(sam)-dong, Songpa-gu, Seoul, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/0262966953ed737178e2279af99713bb/5E0AAD1C/t51.2885-15/e35/61899951_221586922151405_4191217023495086184_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=105,Seoul,Parks & Gardens
Starfield Library,"Located in the center of COEX Mall, Starfield Library is an open public space where anyone can freely come to sit down, take a break, and immerse themselves in books along with other bibliophiles.

 

A wide selection of books in various genres such as humanities, economics, hobbies, etc. are readily available. Whole sections of the library are dedicated to foreign books and famous authors. iPads can be used to read e-books. Close to 600 magazines, domestic and foreign, are available for browsing. All these qualities set Starfield Library apart from other ordinary libraries.

 

In addition, a plethora of events take place here such as meeting with authors, book talks, poetry reading, lectures, book concerts, and more.","513 Yeongdong-daero, Samseong-dong, Gangnam-gu, Seoul, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/03f85b8819dd61cb07875188df5150cc/5E112AB0/t51.2885-15/e35/64778250_2351206764969168_1579818277403234993_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=100,Seoul,Attraction
Noryangjin Fisheries Wholesale Market,"Introduction
Opened in 1927 on Uiju-ro, next to the Seoul Station, Noryangjin Fishery Market is one of Korea's largest seafood markets. The seafood market was moved to the newly constructed building in 1971 at Noryangjin and Suhyup took over the market to promote fishery industry, as well as to increase fisher’s income in 2002. In addition, they started modernizing projects that made it a leading fishery market in Korea, co-existing distribution and culture alike. The market handles about 50% of metropolitan volumes and 250 to 300 tons of marine products are traded every day. The prices of marine products are decided according to the quantity so one is recommended to visit the official website to check the bid. General retail prices are 10 to 20% higher than the auction prices. Mixing across wholesales and retails, the market offers live atmosphere of early morning market, starting from 1 a.m. and offers various interesting scenes to see. In particular, at around 3 a.m., a live fish auction allows visitors to feel the authentic market place atmosphere among sellers and buyers.","674 Nodeul-ro, Noryangjin 2(i)-dong, Dongjak-gu, Seoul, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/0871d995bad89057c67054c46cbd9056/5DFB0B69/t51.2885-15/e35/p1080x1080/67977598_162479958139641_926801790624106058_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=109,Seoul,Landmarks
Seoul Forest,"Introduction
Opened on June 18, 2005, Seoul Forest had previously undergone a series of changes on Ttukseom (Ttuk Island). In the past, the forest had been a royal hunting ground for kings and served as a military inspection facility. However, in more recent decades, the area has served a wide variety of functions. Ttukseom initially served as a water-treatment facility, and later as a golf course, horse racing track, and eventually a sports park.

Consisting of five parks spread over 180,000 pyeong (approximately 595,000 ㎡) of land, Seoul Forest is an eco-friendly zone appreciated not only by the people of the city but also those visiting Seoul. Seoul Forest is rapidly developing into the premium city-park of Korea like Hyde Park in London and Central Park in New York.

* Culture and Arts Park (220,000㎡)
Situated in the heart of Seoul Forest, the Cultural Art Park features Seoul Forest Square, Ttukseom Family Field, decorative flower beds, a visitor's center, a skate park, an outdoor stage, a waterside lounge (restaurant), an in-forest open space, an in-forest play ground and a water play area.

* Eco Forest (165,000㎡)
The Ecological Forest, once an area covered by the Hangang River, has been transformed into an eco-forest connecting the Han and Jungnang-cheon (Jungnang stream). This natural habitat for wildlife animals is home to fallow deer, formosan deer, elks, chipmunks, mandarin ducks, mallards, spot-billed ducks and moorhens. There is also an observatory to help visitors get a better view of the local wildlife.

* Experiential Learning Park (85,000㎡)
Occupying the structure of the former Ttukseom Water Treatment Facility, this refurbished educational area was established to house an insect botanical garden, a wild flower garden, a themed flower garden, an event ground and a surrounding protective forest.

* Marsh Plants Garden (70,000㎡)
Making use of the local reservoir’s natural environment, the Wetlands Ecological Field contains a wetlands ecological management office, an ecological playground, an outdoor nature classroom, a bird observatory, a wetlands flower garden and a botanical garden fed with local, clear waters.

* Hangang Riverside Park (33,000㎡)
Located southwest of Seoul Forest, this riverside area at the junction of the Hangang River and Jungnang-cheon features a waterfront park, a marina and a rest area.","273 Ttukseom-ro, Seongsu-dong 1(il)-ga, Seongdong-gu, Seoul, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/0b4e8c5aab40139381603b2c07e4299f/5E0DA5E7/t51.2885-15/e35/65299103_1311635815653157_2327849967097218496_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=101,Seoul,Parks & Gardens
National Museum of Korean Contemporary History,"Introduction
The National Museum of Korean Contemporary History is Korea's first museum recording the nation’s comprehensive history from the late nineteenth century to current time. It opened on December 26, 2012 and was established to share the nation’s history of going through all kinds of hardships and troubles by showing them with exhibitions, education, researching and developing and collecting materials. The museum is comprised of four exhibition halls; Prelude to the Republic of Korea, Foundation of the Republic of Korea, Development of the Republic of Korea, and Modernization of South Korea, toward the World. Korean History Dream Village features a hands-on program hall for children to learn modern and contemporary history. Also Children’s Museum offers special exhibitions throughout modern time’s history and educational and cultural programs for students.","198 Sejong-daero, Jongno 1(il).2(i).3(sam).4(sa), Jongno-gu, Seoul, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/12f1a7acccfe320fd3836ce3153443da/5DF81BAD/t51.2885-15/e35/36647368_1694240304028470_9214740441080004608_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=106,Seoul,Landmarks
Seoullo 7017,"Introduction
In the 1970s, an elevated road was built to connect the eastern and western sides around Seoul Station. However, the road was closed to road traffic due to safety issues. After this, rather than tearing down the existing structure, the road was transformed into Seoullo 7017, a new pedestrian walking experience.

Seoullo 7017 gets its name from its years of new life, from being a traffic road in the 70s to a sky garden in 2017. The ""17"" also has a deeper meaning, with Seoullo 7017 being divided into 17 unique sections, and the road being located 17 meters above the ground.

There are a variety of facilities along Seoullo 7017, including an information center, cafes, gardens, and stages. Seoullo 7017 itself is open all day, every day for visitors to enjoy at their leisure. If you would like a guided tour, be sure to sign up for the guided walking tour through the official Visit Seoul website.","432 Cheongpa-ro, Hoehyeon-dong, Jung-gu, Seoul, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/130637e6699b679cb969477c3a37d79d/5E06D7E2/t51.2885-15/e35/60159624_136427844099906_3007729801221312849_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=106,Seoul,Parks & Gardens
Seolleung & Jeongneung Royal Tomb,"Introduction
* Night-time viewing is restricted to lighted areas
* Night-time viewing prohibited November-February for the safety of all visitors

Seonjeongneung is comprised of Seolleung Royal Tomb and Jeongneung Royal Tomb. Located in downtown Seoul, this place offers tranquil and pleasant promenades for couples and office workers. Seonjeongneung houses the burial mounds of King Seongjong (1469-1494), his wife Queen Jeonghyeon, and King Jungjong (1506-1544) of the Joseon Dynasty (1392-1910).

Upon entering the grounds, you can see a red gate (the red colour denotes holiness) with a taegeuk (yin-yang) symbol. The stone paths leading to the sacrificial building are noteworthy because there are two stone paths—the elevated path is for the dead King and the lower one is for living people.

In the past, memorial rites were performed in the sacrificial building. Small sculptures on the eaves called Japsang were carved in the shape of animals, such as monkeys, and were believed to exorcise evil spirits. Next to the sacrificial building, there is a pavilion and a tombstone for the tomb of the king. Sculptures of sheep and tigers surround the tomb and are guardians of the deceased king. There is also a statue of a military officer bearing a sword. In front of the tomb is an outstanding sight called 'Mangjuseok,' which is a pair of stones designed to guide the spirit of the king to his tomb. Unlike the tombs of the kings, the queen’s tomb, Wanghureung, is simple. It doesn’t have any pavilions or sacrificial buildings, and is surrounded only by stone sculptures as guardians.

Seonjeongneung has a lush forest, and benches on the promenade provide an ideal place to relax. There are numerous small hills with clusters of trees that create a border between the mystery and serenity of the royal tombs and the hustle and bustle of downtown Seoul.","1 Seolleung-ro 100-gil, Samseong-dong, Gangnam-gu, Seoul, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/1713e34f5de183e377667458e4fd0fac/5DFBE670/t51.2885-15/e35/s1080x1080/67371797_100895521258149_488075370176391672_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=109,Seoul,Landmarks
Seoul World Cup Stadium,"Introduction
Seoul World Cup Stadium is shaped like a traditional Korean kite, and if seen from above, it looks as if a rectangular shield is being flown like a kite. The shape of the stadium represents flight towards victory, and it combines the hopes of the World Cup games and spirit and traditional culture of the Korean people.
The very first impression the stadium gives is that it is very large. It provides over 60,000 seats, and in fact, in terms of area and facility, it is the best in Asia. There are also large screens on either side of the stadium for people wanting close-up view of the games. Near the stadium there are a variety of parks, ideal for leisurely walks. There are also five theme parks around the stadium – Peace Park, Nanjicheon Park, and Noeul Park among them. Thick groves of trees, modern street lights, and magnificent fountains make the parks ideal walking areas in the morning and evening. In the evenings, many in-line skaters come and hang out as well. The stadium is open from 9 to 5 pm, and many interpreters are always on duty.
After the successful completion of the 2002 FIFA World Cup Korea/Japan, the Seoul World Cup Stadium has been leading the campaign to promote soccer culture, and is also a frontrunner in hosting various cultural events. Located within the facilities are also places to shop and enjoy cultural activities- providing all visitors with much to see and do. In Seoul, it is rising as a popular tourist spot.","Seongsan-dong, Mapo-gu, Seoul, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/17a9afc4593b6aecca769a60877e7c11/5E069D9E/t51.2885-15/e35/s1080x1080/66862464_134664597752262_9134084540005002183_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=106,Seoul,Attraction
Leeum Samsung Museum of Art,"Introduction
Leeum, Samsung Museum of Art, exhibits traditional and modern art works by Korean and international artists. The museum itself is just as fascinating as the art works on display, since its three buildings were designed by the internationally renowned architects, Mario Botta, Jean Nouvel, and Rem Koolhaas.

MUSEUM 1 houses traditional Korean art, such as calligraphy, paintings, ceramic arts, and metal craftwork, while MUSEUM 2 displays modern and contemporary art by both Korean and foreign artists. 

This is one of the places that the ""first ladies of the Seoul G20"" visited during the G20 Summit in Seoul in November 2010. This attraction represents the beauty of Korea.","60-16 Itaewon-ro 55-gil, Hannam-dong, Yongsan-gu, Seoul, South Korea",https://scontent-cdg2-1.cdninstagram.com/vp/1850b2f92eaebb27e7d78c10caa6864d/5E36F36F/t51.2885-15/e35/p1080x1080/67369848_127414848571524_6733195657176032267_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=100,Seoul,Art museums
