name,duration,price,category,activity
Standard visit of Coex Aquarium,1.5,10,Standard visit,Coex Aquarium
Standard visit of Seokchon Lake,1,11,Standard visit,Seokchon Lake
Standard visit of Starfield Library,1,12,Standard visit,Starfield Library
Standard visit of Noryangjin Fisheries Wholesale Market,1,13,Standard visit,Noryangjin Fisheries Wholesale Market
Standard visit of Seoul Forest,1,14,Standard visit,Seoul Forest
Standard visit of National Museum of Korean Contemporary History,2,15,Standard visit,National Museum of Korean Contemporary History
Standard visit of Seoullo 7017,1,16,Standard visit,Seoullo 7017
Standard visit of Seolleung & Jeongneung Royal Tomb,2,17,Standard visit,Seolleung & Jeongneung Royal Tomb
Standard visit of Seoul World Cup Stadium,1,18,Standard visit,Seoul World Cup Stadium
Standard visit of Leeum Samsung Museum of Art,1,19,Standard visit,Leeum Samsung Museum of Art
Standard visit of Hyundai Cruise,1,20,Standard visit,Hyundai Cruise
Standard visit of Naksan Park,1,21,Standard visit,Naksan Park
Standard visit of Seodaemun Prison History Hall,1,22,Standard visit,Seodaemun Prison History Hall
Standard visit of N Seoul Tower,1,23,Standard visit,N Seoul Tower
Standard visit of Lotte World Tower Seoul Sky,2,24,Standard visit,Lotte World Tower Seoul Sky
Standard visit of Mangwon Market,1,25,Standard visit,Mangwon Market
Standard visit of Gwanghwamun Gate,1,26,Standard visit,Gwanghwamun Gate
Standard visit of Gyeongbokgung Palace,2,27,Standard visit,Gyeongbokgung Palace
Standard visit of World Cup Park,1,28,Standard visit,World Cup Park
Standard visit of Namdaemun Market,1,29,Standard visit,Namdaemun Market
Standard visit of Gwangjang market,1,30,Standard visit,Gwangjang market
Standard visit of Bukhansan National Park,4,31,Standard visit,Bukhansan National Park
Standard visit of Cheongwadae Sarangchae,1,32,Standard visit,Cheongwadae Sarangchae
Standard visit of Namsan Cable Car,1,33,Standard visit,Namsan Cable Car
Standard visit of Jogyesa Temple,1,34,Standard visit,Jogyesa Temple
Standard visit of Yeouido Hangang Park,1,35,Standard visit,Yeouido Hangang Park
Standard visit of Lotte World,1,36,Standard visit,Lotte World
Standard visit of Daelim Museum,1,37,Standard visit,Daelim Museum
Standard visit of Korea House,1.5,38,Standard visit,Korea House
Standard visit of Achasan Mountain,2,39,Standard visit,Achasan Mountain
Standard visit of National Museum of Korea,2,40,Standard visit,National Museum of Korea
Standard visit of Goto Mall (Gangnam Terminal Underground Shopping Center),2,41,Standard visit,Goto Mall (Gangnam Terminal Underground Shopping Center)
Standard visit of Dongdaemun Shopping Complex,2,42,Standard visit,Dongdaemun Shopping Complex
Standard visit of Dongdaemun History & Culture Park,2,43,Standard visit,Dongdaemun History & Culture Park
Standard visit of Dongdaemun Gate (Heunginjimun),0,44,Standard visit,Dongdaemun Gate (Heunginjimun)
Standard visit of Sungnyemun Gate (Namdaemun Gate),0.5,45,Standard visit,Sungnyemun Gate (Namdaemun Gate)
Standard visit of The War and Women's Human Rights Museum,1,46,Standard visit,The War and Women's Human Rights Museum
Standard visit of Korea Furniture Museum,1,47,Standard visit,Korea Furniture Museum
Standard visit of Gocheok Sky Dome,1,48,Standard visit,Gocheok Sky Dome
Standard visit of Jamsil Baseball Stadium,2,49,Standard visit,Jamsil Baseball Stadium
Standard visit of Namsangol Hanok Village,3,50,Standard visit,Namsangol Hanok Village
Standard visit of Coreana Cosmetics Museum,1,51,Standard visit,Coreana Cosmetics Museum
Standard visit of The National Folk Museum of Korea,1.5,52,Standard visit,The National Folk Museum of Korea
Standard visit of Deoksugung Palace,2,53,Standard visit,Deoksugung Palace
Standard visit of Namsan Park,1,54,Standard visit,Namsan Park
Standard visit of King Sejong Statue,0.5,55,Standard visit,King Sejong Statue
Standard visit of Inwangsan Mountain,2,56,Standard visit,Inwangsan Mountain
Standard visit of Ihwa Mural Village,0.5,57,Standard visit,Ihwa Mural Village
Standard visit of Dream Forest,2,58,Standard visit,Dream Forest
Standard visit of Starfield COEX Mall,2,59,Standard visit,Starfield COEX Mall
Standard visit of Seoul Museum of History,1,60,Standard visit,Seoul Museum of History
Standard visit of Jungbu Market,2,61,Standard visit,Jungbu Market
Standard visit of Hanwha Aqua Planet Ilsan,1,62,Standard visit,Hanwha Aqua Planet Ilsan
Standard visit of Cheonggyecheon Stream,1,63,Standard visit,Cheonggyecheon Stream
Standard visit of Grevin Seoul Museum,1,64,Standard visit,Grevin Seoul Museum
Standard visit of National Museum of Modern and Contemporary Art Seoul,2,65,Standard visit,National Museum of Modern and Contemporary Art Seoul
Standard visit of Korea Manhwa Museum,1,66,Standard visit,Korea Manhwa Museum
Standard visit of National Palace Museum of Korea,2,67,Standard visit,National Palace Museum of Korea
Standard visit of Bukchon Hanok Village,3,68,Standard visit,Bukchon Hanok Village
Standard visit of Alive Museum Insadong,1,69,Standard visit,Alive Museum Insadong
Standard visit of Hongdae Free Market,1,70,Standard visit,Hongdae Free Market
